species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Varanus_spenceri,Oviparous,Varanus,Varanidae,414.6,124,2.6,2.1,-5.301,3.235,1335.9,395.8,3.2,1.47,1469.03,29.60,35,10,27.5,12,140.88,-21.22,Diurnal,widely foraging,Carnivorous,Varanus_spenceri
Varanus_storri,Oviparous,Varanus,Varanidae,110.5,51.1,2.0,1.7,-5.301,3.235,352.2,160,1.3,0.23,20.38,1.68,7,1,6,2.3,135.77,-18.86,Diurnal,sit and wait,Carnivorous,Varanus_storri
Varanus_tristis,Oviparous,Varanus,Varanidae,231.2,69.5,2.4,1.8,-5.301,3.235,742.6,219.5,2.3,0.66,222.08,4.55,17,3,10.2,8,132.97,-23.3,Diurnal,mixed,Carnivorous,Varanus_tristis
Varanus_varius,Oviparous,Varanus,Varanidae,472.5,105,2.7,2.0,-5.301,3.235,1523.2,334.4,3.4,1.24,2242.28,17.28,14,2,9.7,5.4,147.94,-30.14,Diurnal,widely foraging,Carnivorous,Varanus_varius
Varzea_bistriata,Viviparous,Varzea,Scincidae,92.7,35.8,2.0,1.6,-5.125,3.229,294.2,110.5,1.2,-0.11,16.85,0.78,9,2,4.7,4.7,-56.76,-6.02,Diurnal,widely foraging,Carnivorous,Varzea_bistriata
Vhembelacerta_rupicola,Oviparous,Vhembelacerta,Lacertidae,46.8,20.1,1.7,1.3,-4.543,2.951,133.6,54.8,0.4,-0.70,2.43,0.20,4,2,3,3,29.86,-22.96,Diurnal,widely foraging,Carnivorous,Vhembelacerta_rupicola
Xantusia_henshawi,Viviparous,Xantusia,Xantusiidae,60.9,29.5,1.8,1.5,-4.796,3.048,180.8,85.1,0.6,-0.32,4.40,0.48,2,1,2,1.5,-116.24,32.53,Cathemeral,sit and wait,Carnivorous,Xantusia_henshawi
Xantusia_riversiana,Viviparous,Xantusia,Xantusiidae,83.2,32,1.9,1.5,-4.796,3.048,248.8,92.7,1.1,-0.21,11.39,0.62,9,2,5.5,3.3,-118.78,33.01,Diurnal,sit and wait,Omnivorous,Xantusia_riversiana
Xantusia_vigilis,Viviparous,Xantusia,Xantusiidae,42.1,22,1.6,1.3,-4.796,3.048,123.5,62.3,0.2,-0.70,1.43,0.20,3,1,1.9,1.8,-115.65,34.25,Cathemeral,sit and wait,Carnivorous,Xantusia_vigilis
Xenosaurus_grandis,Viviparous,Xenosaurus,Xenosauridae,110.9,45,2.0,1.7,-5.833,3.571,390.2,154.9,1.5,0.07,29.47,1.18,8,1,5.7,2.1,-96.34,18.29,Diurnal,sit and wait,Carnivorous,Xenosaurus_grandis
Xenosaurus_newmanorum,Viviparous,Xenosaurus,Xenosauridae,103.8,50,2.0,1.7,-5.833,3.571,364.8,172.7,1.4,0.23,23.27,1.71,4,1,2.6,2.4,-98.53,21.04,Diurnal,sit and wait,Omnivorous,Xenosaurus_newmanorum
Xenosaurus_phalaroanthereon,Viviparous,Xenosaurus,Xenosauridae,117.9,54.8,2.1,1.7,-5.833,3.571,415.2,189.9,1.6,0.38,36.68,2.38,4,1,2.3,2,-96.13,16.69,Cathemeral,sit and wait,Carnivorous,Xenosaurus_phalaroanthereon
Xenosaurus_platyceps,Viviparous,Xenosaurus,Xenosauridae,105.8,50,2.0,1.7,-5.833,3.571,372,172.7,1.4,0.23,24.91,1.71,6,1,2.7,2,-99.47,23.2,Diurnal,sit and wait,Carnivorous,Xenosaurus_platyceps
Xenosaurus_rectocollaris,Viviparous,Xenosaurus,Xenosauridae,97.5,46,2.0,1.7,-5.833,3.571,342.3,158.4,1.3,0.10,18.61,1.27,7,1,2.6,2.6,-97.39,18.33,Diurnal,sit and wait,Carnivorous,Xenosaurus_rectocollaris
Zootoca_vivipara,Mixed,Zootoca,Lacertidae,61,18.5,1.8,1.3,-4.543,2.951,175.5,50.1,0.7,-0.80,5.32,0.16,16,1,9.8,4.3,69.67,56.6,Diurnal,sit and wait,Carnivorous,Zootoca_vivipara
Sphenodon_punctatus,Oviparaous,Sphenodon,Sphenodontidae,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Nocturnal,sit and wait,Carnivorous,Sphenodon_punctatus
