species,reproductive.mode,Genus,Family,female.SVL,hatchling.neonate.SVL,female.log,hatch.log,intercept,slope,female_mass,hatchling_mass,femass.log,hatcmass.log,rawFem,rawHatc,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,foraging.mode,diet,Binomial
Takydromus_tachydromoides,Oviparous,Takydromus,Lacertidae,50.9,24.9,1.7,1.4,-4.543,2.951,145.7,68.9,0.5,-0.42,3.12,0.38,9,1,5.1,2.9,138.06,37.64,Diurnal,widely foraging,Carnivorous,Takydromus_tachydromoides
Tarentola_angustimentalis,Oviparous,Tarentola,Phyllodactylidae,60.5,23.8,1.8,1.4,-4.482,2.945,173.7,65.6,0.8,-0.43,5.82,0.37,2,1,1.9,1.9,-13.9,28.62,Nocturnal,sit and wait,Carnivorous,Tarentola_angustimentalis
Tarentola_annularis,Oviparous,Tarentola,Phyllodactylidae,89,35.3,1.9,1.5,-4.482,2.945,257.6,99.5,1.3,0.08,18.15,1.19,2,1,1.5,1.5,19.8,16.96,Nocturnal,mixed,Omnivorous,Tarentola_annularis
Tarentola_deserti,Oviparous,Tarentola,Phyllodactylidae,68.5,36,1.8,1.6,-4.482,2.945,197.3,101.5,0.9,0.10,8.40,1.26,2,2,2,2,2.68,32.8,Nocturnal,widely foraging,Carnivorous,Tarentola_deserti
Tarentola_ephippiata,Oviparous,Tarentola,Phyllodactylidae,85.6,28,1.9,1.4,-4.482,2.945,247.6,78,1.2,-0.22,16.19,0.60,2,1,1.9,1.9,10.82,14.76,Nocturnal,mixed,Carnivorous,Tarentola_ephippiata
Tarentola_mauritanica,Oviparous,Tarentola,Phyllodactylidae,52.8,20,1.7,1.3,-4.482,2.945,151,54.4,0.6,-0.65,3.90,0.22,3,1,2,2,4.64,36.68,Cathemeral,mixed,Carnivorous,Tarentola_mauritanica
Tarentola_neglecta,Oviparous,Tarentola,Phyllodactylidae,61.2,21,1.8,1.3,-4.482,2.945,175.8,57.4,0.8,-0.59,6.03,0.26,1,1,1,1,10.03,27.82,Nocturnal,widely foraging,Carnivorous,Tarentola_neglecta
Teira_dugesii,Oviparous,Teira,Lacertidae,60.9,30.8,1.8,1.5,-4.543,2.951,175.2,86.3,0.7,-0.15,5.29,0.71,5,1,2.6,2.4,-16.95,32.76,Diurnal,widely foraging,Omnivorous,Teira_dugesii
Teius_oculatus,Oviparous,Teius,Teiidae,98.4,37.4,2.0,1.6,-4.747,3.11,301.3,111.6,1.5,0.14,28.26,1.40,8,2,5.2,4.5,-58.2,-31.7,Diurnal,widely foraging,Omnivorous,Teius_oculatus
Teius_teyou,Oviparous,Teius,Teiidae,100.3,38.9,2.0,1.6,-4.747,3.11,307.2,116.2,1.5,0.20,29.99,1.58,8,1,5,4.6,-62.94,-25.99,Diurnal,widely foraging,Omnivorous,Teius_teyou
Teratoscincus_scincus,Oviparous,Teratoscincus,Sphaerodactylidae,77.2,39.5,1.9,1.6,-4.558,2.97,224.7,112.8,1.0,0.18,11.17,1.53,2,1,2,2,63.76,41.85,Nocturnal,mixed,Carnivorous,Teratoscincus_scincus
Thecadactylus_rapicauda,Oviparous,Thecadactylus,Phyllodactylidae,110.1,34.4,2.0,1.5,-4.482,2.945,319.8,96.8,1.5,0.04,33.97,1.10,2,1,1,1,-65.41,-0.1,Nocturnal,sit and wait,Carnivorous,Thecadactylus_rapicauda
Thecadactylus_solimoensis,Oviparous,Thecadactylus,Phyllodactylidae,103.9,41,2.0,1.6,-4.482,2.945,301.5,116.3,1.5,0.27,28.64,1.85,1,1,1,1,-68.86,-5.65,Nocturnal,sit and wait,Carnivorous,Thecadactylus_solimoensis
Tiliqua_adelaidensis,Viviparous,Tiliqua,Scincidae,95.8,44.8,2.0,1.7,-5.125,3.229,304.2,139.5,1.3,0.21,18.74,1.61,4,1,3.2,3.2,138.71,-33.84,Diurnal,sit and wait,Carnivorous,Tiliqua_adelaidensis
Tiliqua_multifasciata,Viviparous,Tiliqua,Scincidae,233.6,70,2.4,1.8,-5.125,3.229,749.2,220.9,2.5,0.83,333.27,6.80,10,2,4.4,4,130.17,-22.07,Cathemeral,widely foraging,Herbivorous,Tiliqua_multifasciata
Tiliqua_occipitalis,Viviparous,Tiliqua,Scincidae,272.7,102.5,2.4,2.0,-5.125,3.229,875.4,325.8,2.7,1.37,549.32,23.31,10,2,5,5,130.62,-30.27,Diurnal,widely foraging,Omnivorous,Tiliqua_occipitalis
Tiliqua_rugosa,Viviparous,Tiliqua,Scincidae,260,139,2.4,2.1,-5.125,3.229,834.4,443.7,2.7,1.79,470.92,62.34,4,1,2.8,1.3,138.93,-30.63,Diurnal,widely foraging,Herbivorous,Tiliqua_rugosa
Trachylepis_buettneri,Oviparous,Trachylepis,Scincidae,70.1,22,1.8,1.3,-5.125,3.229,221.2,65.9,0.8,-0.79,6.84,0.16,13,3,9,8.4,18.25,6.87,Diurnal,widely foraging,Carnivorous,Trachylepis_buettneri
Trachylepis_maculilabris,Oviparous,Trachylepis,Scincidae,72.2,24,1.9,1.4,-5.125,3.229,228,72.4,0.9,-0.67,7.52,0.21,13,3,8.6,5.5,19.42,0.35,Diurnal,widely foraging,Carnivorous,Trachylepis_maculilabris
Trachylepis_margaritifera,Oviparous,Trachylepis,Scincidae,96.1,31.5,2.0,1.5,-5.125,3.229,305.2,96.6,1.3,-0.29,18.93,0.52,10,2,6.1,6.1,33.38,-16.19,Diurnal,sit and wait,Carnivorous,Trachylepis_margaritifera
Trachylepis_occidentalis,Mixed,Trachylepis,Scincidae,91,32,2.0,1.5,-5.125,3.229,288.7,98.2,1.2,-0.26,15.88,0.54,7,4,6.7,4,18.39,-25.64,Diurnal,widely foraging,Carnivorous,Trachylepis_occidentalis
Trachylepis_quinquetaeniata,Oviparous,Trachylepis,Scincidae,81.7,31.8,1.9,1.5,-5.125,3.229,258.7,97.6,1.0,-0.27,11.21,0.53,15,2,4.8,4.8,18.22,10.93,Diurnal,widely foraging,Omnivorous,Trachylepis_quinquetaeniata
Trachylepis_sparsa,Viviparous,Trachylepis,Scincidae,83.3,28,1.9,1.4,-5.125,3.229,263.9,85.3,1.1,-0.45,11.93,0.35,9,3,5.4,4.9,19.6,-27.01,Diurnal,widely foraging,Carnivorous,Trachylepis_sparsa
Trachylepis_spilogaster,Viviparous,Trachylepis,Scincidae,75.4,25.5,1.9,1.4,-5.125,3.229,238.3,77.2,0.9,-0.58,8.65,0.26,9,2,5.5,4.2,18.41,-24.28,Diurnal,mixed,Carnivorous,Trachylepis_spilogaster
Trachylepis_striata,Viviparous,Trachylepis,Scincidae,81.4,28,1.9,1.4,-5.125,3.229,257.7,85.3,1.0,-0.45,11.08,0.35,20,2,9.8,3.6,29.94,-8.35,Diurnal,mixed,Carnivorous,Trachylepis_striata
Trachylepis_varia,Mixed,Trachylepis,Scincidae,59.9,21.5,1.8,1.3,-5.125,3.229,188.3,64.3,0.6,-0.82,4.11,0.15,14,1,9.1,5.6,29.01,-11.14,Diurnal,mixed,Carnivorous,Trachylepis_varia
Trachylepis_variegata,Viviparous,Trachylepis,Scincidae,40.9,19,1.6,1.3,-5.125,3.229,126.9,56.2,0.1,-1.00,1.20,0.10,12,1,2.8,1.8,19.18,-28.03,Diurnal,widely foraging,Carnivorous,Trachylepis_variegata
Trapelus_agnetae,Oviparous,Trapelus,Agamidae,75.2,28.5,1.9,1.5,-4.686,3.105,228.8,83.8,1.1,-0.17,13.79,0.68,12,1,10,9.4,42.06,29.22,Diurnal,sit and wait,Omnivorous,Trapelus_agnetae
Trapelus_sanguinolentus,Oviparous,Trapelus,Agamidae,84.5,34.5,1.9,1.5,-4.686,3.105,257.7,102.4,1.3,0.09,19.81,1.23,18,3,8,7,64.56,42.52,Diurnal,mixed,Omnivorous,Trapelus_sanguinolentus
Trapelus_savignii,Oviparous,Trapelus,Agamidae,79.2,31.4,1.9,1.5,-4.686,3.105,241.2,92.8,1.2,-0.04,16.20,0.92,9,2,6.3,4,33.25,30.54,Diurnal,sit and wait,Carnivorous,Trapelus_savignii
Trioceros_jacksonii,Viviparous,Trioceros,Chamaeleonidae,107.3,28.5,2.0,1.5,-3.997,2.68,283.6,72.4,1.4,-0.10,27.86,0.80,57,5,21.7,12.2,37.15,-1,Diurnal,mixed,Carnivorous,Trioceros_jacksonii
Tropidophorus_grayi,Viviparous,Tropidophorus,Scincidae,102.2,29.7,2.0,1.5,-5.125,3.229,324.9,90.8,1.4,-0.37,23.09,0.43,8,1,3.8,3.8,123.53,11.76,Diurnal,widely foraging,Carnivorous,Tropidophorus_grayi
Tropidurus_cocorobensis,Oviparous,Tropidurus,Tropiduridae,62.6,24.1,1.8,1.4,-3.884,2.719,166.3,61.6,1.0,-0.13,10.02,0.75,4,2,3.3,2.8,-39.66,-10.07,Diurnal,sit and wait,Omnivorous,Tropidurus_cocorobensis
Tropidurus_etheridgei,Oviparous,Tropidurus,Tropiduridae,61.6,26.5,1.8,1.4,-3.884,2.719,163.6,68.2,1.0,-0.01,9.59,0.97,9,3,6.3,4.3,-61.73,-20.61,Diurnal,sit and wait,Omnivorous,Tropidurus_etheridgei
Tropidurus_hispidus,Oviparous,Tropidurus,Tropiduridae,83.8,28.1,1.9,1.4,-3.884,2.719,224,72.5,1.3,0.06,22.15,1.14,14,1,8.1,5.6,-51.5,-2.61,Diurnal,sit and wait,Omnivorous,Tropidurus_hispidus
